time,open,high,low,close,tick_volume,spread,real_volume
2023-01-03 00:00:00,1826.72,1832.38,1823.56,1828.51,8445,8,0
2023-01-03 04:00:00,1828.47,1843.06,1828.26,1840.39,12051,8,0
2023-01-03 08:00:00,1840.39,1849.96,1834.53,1838.84,23699,8,0
2023-01-03 12:00:00,1838.84,1841.06,1830.83,1838.88,20195,8,0
2023-01-03 16:00:00,1838.91,1849.85,1827.52,1839.2,34451,8,0
2023-01-03 20:00:00,1839.2,1840.2,1836.51,1839.47,13232,8,0
2023-01-04 00:00:00,1838.61,1844.46,1836.12,1844.28,6929,8,0
2023-01-04 04:00:00,1844.37,1847.1,1843.41,1846.33,8762,8,0
2023-01-04 08:00:00,1846.35,1865.12,1845.79,1860.54,22512,8,0
2023-01-04 12:00:00,1860.55,1862.86,1852.79,1860.03,21557,8,0
2023-01-04 16:00:00,1859.97,1860.82,1848.93,1850.5,35079,8,0
2023-01-04 20:00:00,1850.49,1857.16,1847.08,1854.61,21191,8,0
2023-01-05 00:00:00,1853.76,1858.95,1852.9,1858.78,7062,8,0
2023-01-05 04:00:00,1858.78,1858.78,1850.34,1852.53,10148,8,0
2023-01-05 08:00:00,1852.58,1855.61,1843.78,1848.52,19654,8,0
2023-01-05 12:00:00,1848.66,1851.34,1833.01,1834.75,24520,8,0
2023-01-05 16:00:00,1834.58,1837.82,1825.06,1833.9,34461,8,0
2023-01-05 20:00:00,1833.86,1837.4,1831.89,1832.87,12824,8,0
2023-01-06 00:00:00,1829.35,1836.07,1829.33,1835.47,5739,8,0
2023-01-06 04:00:00,1835.43,1840.79,1835.4,1837.02,10054,8,0
2023-01-06 08:00:00,1837.05,1840.59,1833.26,1835.45,12912,8,0
2023-01-06 12:00:00,1835.51,1852.53,1833.96,1851.81,24276,8,0
2023-01-06 16:00:00,1851.81,1864.94,1840.64,1862.32,40638,8,0
2023-01-06 20:00:00,1862.25,1869.8,1861.7,1866.45,11778,8,0
2023-01-09 00:00:00,1866.47,1875.21,1866.28,1874.34,10052,8,0
2023-01-09 04:00:00,1874.35,1879.41,1874.16,1877.84,10418,8,0
2023-01-09 08:00:00,1877.84,1880.92,1871.26,1873.57,17984,8,0
2023-01-09 12:00:00,1873.59,1878.44,1870.52,1878.14,17207,8,0
2023-01-09 16:00:00,1878.14,1881.48,1869.0,1871.8,28722,8,0
2023-01-09 20:00:00,1871.79,1875.69,1869.17,1871.63,13181,8,0
2023-01-10 00:00:00,1871.44,1875.82,1867.71,1874.37,8622,8,0
2023-01-10 04:00:00,1874.4,1875.59,1870.58,1874.05,10586,8,0
2023-01-10 08:00:00,1874.06,1877.23,1870.54,1876.82,18724,8,0
2023-01-10 12:00:00,1876.81,1877.1,1870.39,1873.3,21558,8,0
2023-01-10 16:00:00,1873.35,1880.71,1871.13,1874.23,36956,8,0
2023-01-10 20:00:00,1874.19,1878.7,1871.94,1876.89,11500,8,0
2023-01-11 00:00:00,1876.7,1878.43,1871.92,1872.98,6741,8,0
2023-01-11 04:00:00,1872.96,1884.52,1872.21,1882.34,10534,8,0
2023-01-11 08:00:00,1882.29,1886.59,1880.35,1884.59,20270,8,0
2023-01-11 12:00:00,1884.55,1886.1,1875.74,1877.58,22448,8,0
2023-01-11 16:00:00,1877.58,1879.08,1867.07,1873.78,33847,8,0
2023-01-11 20:00:00,1873.73,1878.48,1873.1,1875.68,11843,5,0
2023-01-12 00:00:00,1875.21,1881.06,1874.36,1880.51,8225,8,0
2023-01-12 04:00:00,1880.48,1884.98,1880.2,1883.6,9873,8,0
2023-01-12 08:00:00,1883.59,1885.44,1879.85,1884.34,16251,8,0
2023-01-12 12:00:00,1884.34,1901.58,1872.15,1899.56,28821,5,0
2023-01-12 16:00:00,1899.56,1901.3,1879.78,1897.65,48014,8,0
2023-01-12 20:00:00,1897.66,1899.52,1894.04,1896.72,17002,8,0
2023-01-13 00:00:00,1895.88,1900.92,1895.35,1898.71,10631,8,0
2023-01-13 04:00:00,1898.73,1899.77,1892.25,1893.61,11601,8,0
2023-01-13 08:00:00,1893.66,1909.68,1893.44,1904.35,24909,8,0
2023-01-13 12:00:00,1904.32,1906.95,1893.63,1900.01,25687,8,0
2023-01-13 16:00:00,1900.03,1917.78,1899.11,1916.82,36271,5,0
2023-01-13 20:00:00,1916.86,1921.88,1916.71,1920.56,13282,8,0
